ID,region,status,Case Number Full,Consulate,221g Date,End of 221g Date,solvedInDays,How Many Days in AP
9761,OC,Issued,2022OC232,SUV,2022-Jul-07,2022-Jul-28,21,21
10642,OC,Issued,2022OC255,SYD,2022-Jul-05,2022-Aug-04,30,30
11434,OC,Issued,2022OC290,SYD,2022-Jul-05,2022-Aug-10,36,36
13190,OC,Issued,2022OC297,SYD,2022-Jul-05,2022-Aug-26,52,52
8939,OC,Issued,2022OC447,SYD,2022-Jul-05,2022-Jul-12,7,7
12276,OC,Administrative Processing,2022OC517,SYD,2022-Jul-05,2022-Aug-19,45,45
8006,OC,Refused,2022OC554,SYD,2022-Jul-05,,,424
8007,OC,Refused,2022OC671,SYD,2022-Jul-05,,,424
11435,OC,Issued,2022OC904,SYD,2022-Jul-05,2022-Aug-12,38,38
9766,OC,Issued,2022OC933,SYD,2022-Jul-05,2022-Jul-27,22,22
10646,OC,Issued,2022OC1051,SYD,2022-Jul-05,2022-Aug-05,31,31
8014,OC,Refused,2022OC1075,SYD,2022-Jul-05,,,424
17933,OC,Refused,2022OC1076,SYD,2022-Jul-07,2022-Sep-30,85,85
8950,OC,Issued,2022OC1093,SYD,2022-Jul-05,2022-Jul-14,9,9
8955,OC,Ready,2022OC1168,ACK,2022-Jul-08,2022-Jul-21,13,13
10649,OC,Issued,2022OC1239,ACK,2022-Jul-07,2022-Aug-04,28,28
8966,OC,Issued,2022OC1530,SUV,2022-Jul-07,2022-Jul-12,5,5
9784,OC,Administrative Processing,2022OC1577,ACK,2022-Jul-06,2022-Jul-27,21,21
8974,OC,Administrative Processing,2022OC2539,ACK,2022-Jul-06,2022-Jul-20,14,14
8987,SA,Issued,2022SA1106,LMA,2022-Jul-08,2022-Jul-11,3,3
16651,AF,Ready,2022AF88,KIN,2022-Jul-22,2022-Sep-28,68,68
8034,AF,Refused,2022AF134,NRB,2022-Jul-15,,,414
8035,AF,Refused,2022AF368,KIN,2022-Jul-22,,,407
9827,AF,Issued,2022AF981,ADD,2022-Jul-18,2022-Aug-05,18,18
9828,AF,Issued,2022AF1047,ADD,2022-Jul-18,2022-Aug-02,15,15
